firm_name,source_alert,date_published,register_consulted,lookup_date,firm_type_manufacturer_vs_merchant,tier_status
Global Sea Foods and Hotels Ltd. (Plant),16-35,09/18/2009,,,,
Godavari Mega Aqua Food Park Pvt Ltd,16-35,09/03/2021,,,,
Golden Temple Foods Pvt.,99-19,09/16/2009,,,,
Grannys Spices INDIA LLP,99-19,12/10/2019,,,,
GRB DAIRY FOODS PVT LTD,99-19,10/29/2021,,,,
Green Asia Impex Private Limited,16-35,02/07/2025,,,,
GREEN DOT HEALTH FOODS PVT. LTD,99-19,08/07/2018,,,,
Green Fiesta Pvt. Ltd,99-19,09/16/2009,,,,
Green Vegetation Extracts (India) L,99-19,09/16/2009,,,,
Grover Sons,99-19,09/16/2009,,,,
Growel Processors Private Limited,16-35,05/01/2017,,,,
Gsv International,99-19,09/16/2009,,,,
Gujarat Sesame Exports Co.,99-19,11/08/2010,,,,
H. S. Bajaj & Sons (Bombay) Pvt. Ltd.,99-19,09/16/2009,,,,
H.S. ENTERPRISES,99-19,09/16/2009,,,,
Haldiram Foods International Pvt. Ltd,99-19,12/05/2014,,,,
Haldiram Manufacturing Co. Pvt. Ltd.,99-19,10/27/2009,,,,
HALDIRAM SNACKS PVT LTD,99-19,03/13/2025,,,,
HALDIRAM SNACKS PVT. LTD.,99-19,11/17/2021,,,,
HAMRAZ FOOD PRODUCTS PVT. LTD.,99-19,05/16/2011,,,,
Hanuman Industries,99-19,07/23/2012,,,,
Hari Marine Pvt Ltd,16-35,06/08/2018,,,,
HARIHAR FOODS PVT LTD,99-19,08/19/2022,,,,
Haripriya Marine Export,16-35,11/28/2018,,,,
HIGHLAND AGRO FOOD PRIVATE LIMITED,16-35,09/29/2023,,,,
HINDUSTAN LEVER LIMITED,16-35,09/18/2009,,,,
HN Indigos Pvt. Ltd.,16-35,01/31/2018,,,,
Hyson Exports Private Limited,16-35,06/29/2020,,,,
Ideal Trading Co,99-19,09/16/2009,,,,
IFB AGRO INDUSTRIES,16-35,09/18/2009,,,,
Impex Diamonds,99-19,09/16/2009,,,,
IMPROVA HERBAL PRODUCTS,99-19,07/16/2026,,,,
Indexpo Enterprises,99-19,09/23/2010,,,,
Indica Exporters,99-19,09/16/2009,,,,
Indo Canadian Foods Pvt Ltd,99-19,09/16/2009,,,,
Indo Canadian Foods Pvt. Ltd.,99-19,09/16/2009,,,,
Indo Fisheries,16-35,08/13/2015,,,,
Indo-Marine Agencies Kerala Pvt Ltd,16-35,09/18/2009,,,,
INFLUX HEALTHCARE,99-19,05/19/2026,,,,
Innovative Cuisine Pvt Ltd,99-19,06/25/2025,,,,
INNOVATIVE FOODS LIMITED,16-35,09/18/2009,,,,
Intergrow Brands Private Limited,99-19,11/03/2016,,,,
International Freezfish Exports (Unit II),16-35,09/18/2009,,,,
ISHA LIFE PRIVATE LIMITED,99-19,06/10/2025,,,,
Iyengar & Company,99-19,09/16/2009,,,,
J R SHAH,99-19,09/19/2022,,,,
J.B. Spices,99-19,09/16/2009,,,,
JAFFERBHOY SALEHBHOY & CO,99-19,08/30/2010,,,,
Jagadeesh Marine Exports,16-35,04/03/2018,,,,
Jalaram Gruh Udyog,99-19,07/27/2026,,,,
Jaldhara Super Market,99-19,04/03/2013,,,,
JASPER AQUA EXPORTS LIMITED,16-35,09/18/2009,,,,
JAYALAKSHMI SEA FOODS PVT LTD UNIT III,16-35,12/12/2024,,,,
Jayalakshmi Sea Foods Pvt. Ltd.,16-35,05/25/2016,,,,
Jayalakshmi Sea Foods Pvt. Ltd. Unit II,16-35,01/02/2015,,,,
JAYANTKUMAR & CO,99-19,09/16/2009,,,,
JKM Enterprise Private Limited,99-19,05/12/2017,,,,
K-Pra Foods Private Limited,99-19,07/25/2018,,,,
K.B.Exports,99-19,09/16/2009,,,,
K.K. ENTERPRISE,99-19,08/23/2010,,,,
K.K.R. Food Products,99-19,09/16/2009,,,,
K.M. Ganatra & Co,99-19,09/16/2009,,,,
K.N.C. AGRO LIMITED,16-35,08/25/2017,,,,
K.P.Overseas Manufacture & packing,99-19,03/22/2013,,,,
KADALKANNY FROZEN FOODS,16-35,09/18/2009,,,,
Kader Exports Private Limited,16-35,11/06/2012,,,,
Kader Exports Private Limited Unit 3,16-35,01/10/2023,,,,
"Kader Exports Private Limited, Unit 04",16-35,09/26/2017,,,,
"Kader Exports Private Limited, Unit 2",16-35,01/12/2021,,,,
"Kader Exports Private Limited, Unit 5",16-35,09/18/2009,,,,
Kalyan Aqua & Marine Exports India Pvt Ltd,16-35,11/19/2014,,,,
KALYANEE MARINE,16-35,09/18/2009,,,,
"Kanaiya Exports Pvt ,Limited",99-19,08/03/2015,,,,
Karan International Ltd,99-19,12/06/2010,,,,
Karunya Marine Exports Pvt. Ltd.,16-35,10/05/2015,,,,
Kay Kay Exports,16-35,11/18/2010,,,,
Kays Spices And Agro Inds. Ltd.,99-19,09/16/2009,,,,
KEVAL EXPORTS PVT LTD,99-19,07/27/2026,,,,
Keval Exports Pvt. Ltd,99-19,07/16/2026,,,,
KEVENTER GLOBAL PVT LTD,99-19,10/13/2020,,,,
KHYATI  ADVISORY SERVICES LTD,99-19,07/17/2024,,,,
King Fisheries Limited,16-35,09/18/2009,,,,
KINGS MARINE PRODUCTS,16-35,09/18/2009,,,,
Kirit Foods Product,99-19,09/16/2009,,,,
KITCHEN XPRESS OVERSEAS LTD,99-19,09/16/2009,,,,
Kohinoor Foods Ltd,99-19,03/14/2017,,,,
Kohlico Foods & Beverages Pvt Ltd,99-19,06/06/2013,,,,
"Kohlico Foods & Beverages Pvt.Ltd.,",99-19,09/09/2024,,,,
Koluthara Exports,16-35,06/28/2021,,,,
konark aquatics & exports private limited,16-35,09/18/2009,,,,
Kp Overseas,99-19,03/22/2013,,,,
KRISHNA EXPORTS,99-19,09/16/2009,,,,
Krrishna Export,99-19,04/28/2014,,,,
Kusum Chandra Damodar & Co,99-19,09/16/2009,,,,
KV Marine Exports,16-35,09/18/2009,,,,
KWIK CHEF FOODS (Unit Patfam Marketing Services),99-19,09/16/2009,,,,
LAKHMI ENTERPRISES,99-19,12/07/2010,,,,
Lakshmi Trading Company,99-19,09/16/2009,,,,
LAXMICHAND DAYABHAI EXPORT,99-19,06/24/2021,,,,
Lazeez FoodStuffs,99-19,09/16/2009,,,,
LNSK Green House Agro Products LLP,16-35,06/25/2020,,,,
Lokhandwala Exports,99-19,09/16/2009,,,,
M K Agro Exports,99-19,09/16/2009,,,,
M. D. Foods,99-19,05/15/2015,,,,
M.M. Enterprise,99-19,09/16/2009,,,,
M.M. Poonjiaji Spices Ltd,99-19,09/16/2009,,,,
M.R. Agro Industries,99-19,07/02/2021,,,,
