firm_name,source_alert,date_published,register_consulted,lookup_date,firm_type_manufacturer_vs_merchant,tier_status
Sandhya Aqua Exports Pvt Ltd Unit 2,16-35,12/10/2020,,,,
Sandhya Aqua Exports Pvt.Ltd.,16-35,09/18/2009,,,,
Sandhya Marines,16-35,09/18/2009,,,,
SANDHYA MARINES LIMITED,16-35,07/13/2026,,,,
Sandhya Marines Limited Unit 1,16-35,10/09/2013,,,,
Sandhya Marines Limited Unit 2,16-35,03/23/2015,,,,
Sara Spices,99-19,10/31/2013,,,,
Satnam Overseas Limited,99-19,09/16/2009,,,,
Satpal Agro Pvt,99-19,09/16/2009,,,,
Sea Wing Exim India (P) Ltd,99-19,09/16/2009,,,,
Seasaga Enterprises Pvt.Ltd,16-35,09/18/2009,,,,
SGR (777) FOODS PRIVATE LIMITED,99-19,09/16/2009,,,,
SHAH EXPORTS,99-19,09/16/2009,,,,
Shakumbhri Expo Impo Ltd.,99-19,12/10/2009,,,,
Shakumbhri Pulp And Paper Mills,99-19,09/16/2009,,,,
"Sharat Industries, Limited",16-35,11/21/2022,,,,
Shimpo Exports Pvt Ltd,16-35,05/13/2014,,,,
Shiva Enterprises,99-19,01/08/2013,,,,
Shree Bhagwati Flour & Foods PVT. LTD,99-19,09/16/2009,,,,
Shree Datt Aquaculture Farms,16-35,12/03/2014,,,,
Shri Hari Industries,99-19,01/22/2021,,,,
Shri Purshotorm Agro Industries,99-19,09/16/2009,,,,
Shrichakra Udyog Private Limited,99-19,06/14/2010,,,,
Shubh Psyllium Industries,99-19,05/10/2017,,,,
Shudh Masala Bhandar (REGD),99-19,09/16/2009,,,,
Sigma Seafoods,16-35,01/03/2024,,,,
SinghInt,99-19,09/14/2017,,,,
Siri Guru Ram Dass Rice Co.,99-19,09/16/2009,,,,
SNOW WORLD MARINE EXPORTS PRIVATE LIMITED,16-35,09/02/2025,,,,
Sona Overseas Corporation,99-19,06/10/2011,,,,
Sopariwal,99-19,09/16/2009,,,,
SOUTHERN TROPICAL FOODS PVT LTD,16-35,09/19/2017,,,,
spice india exports,99-19,09/16/2009,,,,
Spice International,99-19,09/16/2009,,,,
Spice N Flavor Private Ltd.,99-19,09/16/2009,,,,
SPRINT EXPORTS PRIVATE LIMITED,16-35,11/04/2013,,,,
SPRINT EXPORTS PVT LTD,16-35,02/25/2014,,,,
Sreeragam Exports Pvt. Ltd.,16-35,06/26/2023,,,,
Sri Mata Bio Source,99-19,01/14/2010,,,,
Sri Sakkthi Cold Storage Pvt.Ltd.,16-35,09/18/2009,,,,
"SRI SAKKTHI COLD STOREGE PVT. LTD., ( UNIT 1 )",16-35,09/18/2009,,,,
Sri Varu Impex and Logistics,99-19,03/31/2025,,,,
SSF LIMITED,16-35,10/22/2018,,,,
Star Agro Marine Exports Private Limited,16-35,05/01/2012,,,,
star agro marine exports pvt ltd,16-35,05/01/2012,,,,
Suminter India Organics Pvt Ltd,99-19,09/16/2009,,,,
Summit Marine Exports Private Limited,16-35,07/16/2026,,,,
Sun Agro Exports Co.,99-19,09/16/2009,,,,
Sunshine Commodities,99-19,09/16/2009,,,,
Suryamitra Exim Pvt Ltd,16-35,09/23/2013,,,,
Suryamitra Exim PVT Ltd.,16-35,02/28/2014,,,,
Swani Enterprises,99-19,09/16/2009,,,,
SWANI SPICE MILLS PVT. LIMITED,99-19,09/16/2009,,,,
Synthite Industries Ltd. (Spice Division),99-19,12/15/2021,,,,
Synthite Industries Private (EOU Division) Limited,99-19,11/03/2016,,,,
TAPAN EXPORTS,99-19,09/16/2009,,,,
TASTEL FINE FOODS PRIVATE LIMITED,99-19,09/04/2013,,,,
Tastel Fine Foods Pvt Ltd,99-19,09/04/2013,,,,
